disposition_ref_number,source,case_ref_number,customer_ref_number,disposition,contact_type,sub_disposition_label,sub_disposition,comment,created_at,promised_amount,followup_datetime,address_ref_number,is_true_visit,location_lat,location_lng
DRN_KRAM_0018,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,HUNG_UP,NC,,,,2023-11-12T10:49:00,0,,ADR_5_01,,,
DRN_KRAM_0174,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,HUNG_UP,NC,,,,2023-11-14T10:46:00,0,,ADR_5_01,,,
DRN_KRAM_0133,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2023-11-17T09:56:00,0,,ADR_5_00,,,
DRN_KRAM_0146,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,Customer Disconnected,,2023-11-21T10:09:00,0,,ADR_5_01,,,
DRN_KRAM_0122,FIELD,CR_005_VIKRAM,CT_IKRAM,ANF,NC,,,,2023-11-23T14:11:00,0,,ADR_5_00,1.0,13.083652463028649,80.2709307215977
DRN_KRAM_0015,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,HUNG_UP,NC,,,,2023-11-26T11:13:00,0,,ADR_5_01,,,
DRN_KRAM_0177,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Number busy,,2023-11-27T19:18:00,0,,ADR_5_01,,,
DRN_KRAM_0032,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Out of Service,,2023-12-03T14:30:00,0,,ADR_5_01,,,
DRN_KRAM_0079,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Auto Disconnect,,2023-12-03T16:57:00,0,,ADR_5_00,,,
DRN_KRAM_0164,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2023-12-04T09:43:00,0,,ADR_5_01,,,
DRN_KRAM_0183,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,BPTP,RPC,,,,2023-12-06T19:03:00,0,,ADR_5_01,,,
DRN_KRAM_0117,FIELD,CR_005_VIKRAM,CT_IKRAM,NOT_PRESENT,NC,,,,2023-12-09T09:02:00,0,,ADR_5_01,1.0,13.08309489361784,80.27113174628859
DRN_OOJA_0007,FIELD,CR_010_POOJA,CT_POOJA,RTP,RPC,,,Customer refused to pay,2023-12-13T15:34:00,0,,ADR_10_00,1.0,26.912130897096258,75.78713753224355
DRN_KRAM_0169,FIELD,CR_005_VIKRAM,CT_IKRAM,ANF,NC,,,,2023-12-17T18:10:00,0,,ADR_5_00,1.0,13.08361988996386,80.27161100285322
DRN_RJUN_0005,AUTODIALER,CR_007_ARJUN,CT_ARJUN,TPC,TPC,Party Contacted,Brother,Spoke to family member,2023-12-20T13:50:00,0,,ADR_7_00,,,
DRN_KRAM_0023,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,No Answer,,2023-12-22T17:17:00,0,,ADR_5_00,,,
DRN_OOJA_0025,VOICEBOT,CR_010_POOJA,CT_POOJA,PTP,RPC,Payment Mode,Casa Debit,Customer not responsive,2023-12-27T15:04:00,0,2024-01-01T00:00:00,ADR_10_00,,,
