payment_ref_number,object,object_ref_number,payment_for,payment_for_ref_number,payment_reason,payment_mode,amount,status,payment_datetime,case_ref_number,payment_source
PRN_KRAM_0010,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,UPI,1888,SUCCESS,2023-12-13T08:34:00,CR_005_VIKRAM,LINK
PRN_RJUN_0004,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,ONLINE,2500,FAILED,2023-12-14T14:45:00,CR_007_ARJUN,FIELD_APP
PRN_KRAM_0022,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,CASA_DEBIT,4722,SUCCESS,2023-12-18T15:46:00,CR_005_VIKRAM,CUSTOMER_PORTAL
PRN_OOJA_0016,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,CASH,12777,FAILED,2023-12-24T11:24:00,CR_010_POOJA,LINK
PRN_OOJA_0010,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,NACH,6388,SUCCESS,2023-12-27T11:30:00,CR_010_POOJA,CUSTOMER_PORTAL
PRN_RJUN_0000,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,CASH,2000,SUCCESS,2023-12-27T22:57:00,CR_007_ARJUN,TELECALLING
PRN_KRAM_0017,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,NACH,3305,FAILED,2023-12-30T10:00:00,CR_005_VIKRAM,TELECALLING
PRN_RJUN_0001,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,NACH,2000,SUCCESS,2024-01-06T15:36:00,CR_007_ARJUN,CUSTOMER_PORTAL
PRN_OOJA_0000,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,NACH,12777,SUCCESS,2024-01-31T22:23:00,CR_010_POOJA,CUSTOMER_PORTAL
PRN_OOJA_0007,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,ONLINE,12777,SUCCESS,2024-02-01T20:04:00,CR_010_POOJA,FIELD_APP
PRN_KRAM_0015,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,UPI,4722,FAILED,2024-02-06T08:14:00,CR_005_VIKRAM,CUSTOMER_PORTAL
PRN_RJUN_0008,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,CASH,3500,FAILED,2024-02-06T09:05:00,CR_007_ARJUN,CUSTOMER_PORTAL
PRN_KRAM_0002,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,NACH,1888,SUCCESS,2024-02-18T12:27:00,CR_005_VIKRAM,CUSTOMER_PORTAL
PRN_OOJA_0020,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,ONLINE,12777,SUCCESS,2024-02-25T14:59:00,CR_010_POOJA,LINK
PRN_OOJA_0024,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,CASH,5110,SUCCESS,2024-03-22T19:05:00,CR_010_POOJA,FIELD_APP
PRN_RJUN_0009,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,UPI,4250,FAILED,2024-04-07T08:49:00,CR_007_ARJUN,FIELD_APP
PRN_OOJA_0012,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,NACH,10860,SUCCESS,2024-04-12T21:06:00,CR_010_POOJA,FIELD_APP
PRN_RJUN_0010,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,NACH,3500,SUCCESS,2024-04-14T22:07:00,CR_007_ARJUN,TELECALLING
PRN_RJUN_0013,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,ONLINE,2000,SUCCESS,2024-04-26T21:07:00,CR_007_ARJUN,FIELD_APP
PRN_OOJA_0023,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,CASA_DEBIT,12777,SUCCESS,2024-05-11T15:37:00,CR_010_POOJA,LINK
PRN_KRAM_0009,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,CASH,4013,SUCCESS,2024-06-17T14:44:00,CR_005_VIKRAM,TELECALLING
PRN_KRAM_0024,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,NACH,4722,SUCCESS,2024-06-19T14:42:00,CR_005_VIKRAM,TELECALLING
PRN_KRAM_0014,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,UPI,4013,SUCCESS,2024-06-19T20:45:00,CR_005_VIKRAM,LINK
PRN_RJUN_0006,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,UPI,3500,SUCCESS,2024-06-21T16:38:00,CR_007_ARJUN,FIELD_APP
